Property Address,Year,Fair Market Value,Sale Price,Acres,Year Built,Latitude,Longitude
115.0 GEN GEORGE MARSHALL BLVD TYBEE ISLAND GA 31328.0 115 GEN GEORGE MARSHALL BLVD,2023,1053400.0,0.0,0.28,2004.0,32.022202573631,-80.846891201988
14.0 PULASKI ST TYBEE ISLAND GA 31328.0 14 PULASKI ST,2023,474600.0,38000.0,0.13,1932.0,32.024256251684,-80.847242555662
16.0 PULASKI ST TYBEE ISLAND GA 31328.0 16 PULASKI ST,2023,487900.0,0.0,0.14,1932.0,32.024256251684,-80.847242555662
7.0 DOGWOOD AVE TYBEE ISLAND GA 31328.0 7 DOGWOOD AVE,2023,218400.0,325000.0,0.08,1932.0,32.024035077051,-80.848021572444
20.0 PULASKI ST TYBEE ISLAND GA 31328.0 20 PULASKI ST,2023,382900.0,375000.0,0.06,1932.0,32.024256251684,-80.847242555662
26.0 PULASKI ST TYBEE ISLAND GA 31328.0 26 PULASKI ST,2023,520900.0,343000.0,0.17,1930.0,32.024256251684,-80.847242555662
28.0 PULASKI ST TYBEE ISLAND GA 31328.0 28 PULASKI ST,2023,576500.0,0.0,0.26,1910.0,32.024256251684,-80.847242555662
5.0 PEARWOOD ST TYBEE ISLAND GA 31328.0 5 PEARWOOD ST,2023,747600.0,439200.0,0.29,1930.0,32.024042485748,-80.848863527238
2.0 DOGWOOD ST TYBEE ISLAND GA 31328.0 2 DOGWOOD ST,2023,1205900.0,1125000.0,0.14,2003.0,32.024035077051,-80.848021572444
4.0 DOGWOOD AVE TYBEE ISLAND GA 31328.0 4 DOGWOOD AVE,2023,514200.0,0.0,0.12,1997.0,32.024035077051,-80.848021572444
10.0 DOGWOOD AVE TYBEE ISLAND GA 31328.0 10 DOGWOOD AVE,2023,893300.0,410000.0,0.12,2005.0,32.024035077051,-80.848021572444
4.0 TAYLOR ST TYBEE ISLAND GA 31328.0 4 TAYLOR ST,2023,640800.0,470000.0,0.19,2005.0,32.023342946718,-80.847239249449
6.0 TAYLOR ST TYBEE ISLAND GA 31328.0 6 TAYLOR ST,2023,618400.0,390000.0,0.14,1987.0,32.023342946718,-80.847239249449
8.0 TAYLOR ST TYBEE ISLAND GA 31328.0 8 TAYLOR ST,2023,481500.0,0.0,0.14,1984.0,32.023342946718,-80.847239249449
10.0 TAYLOR ST TYBEE ISLAND GA 31328.0 10 TAYLOR ST,2023,475000.0,0.0,0.14,1996.0,32.023342946718,-80.847239249449
12.0 TAYLOR ST TYBEE ISLAND GA 31328.0 12 TAYLOR ST,2023,705900.0,0.0,0.28,1972.0,32.023342946718,-80.847239249449
6.0 DOGWOOD AVE TYBEE ISLAND GA 31328.0 6 DOGWOOD AVE,2023,646100.0,20000.0,0.23,1990.0,32.024035077051,-80.848021572444
12.0 DOGWOOD AVE TYBEE ISLAND GA 31328.0 12 DOGWOOD AVE,2023,635300.0,20000.0,0.23,1994.0,32.024035077051,-80.848021572444
63.0 VAN HORN TYBEE ISLAND GA 31328.0 63 VAN HORN,2023,627800.0,0.0,0.27,1991.0,32.019260690061,-80.847519499319
61.0 VAN HORN TYBEE ISLAND GA 31328.0 61 VAN HORN,2023,643700.0,20000.0,0.27,1920.0,32.019260690061,-80.847519499319
3.0 TAYLOR ST TYBEE ISLAND GA 31328.0 3 TAYLOR ST,2023,806800.0,0.0,0.24,2009.0,32.023342946718,-80.847239249449
5.0 TAYLOR ST TYBEE ISLAND GA 31328.0 5 TAYLOR ST,2023,570500.0,499000.0,0.33,1940.0,32.023342946718,-80.847239249449
50.0 VAN HORN TYBEE ISLAND GA 31328.0 50 VAN HORN,2023,620200.0,332000.0,0.53,1936.0,32.019260690061,-80.847519499319
46.0 VAN HORN TYBEE ISLAND GA 31328.0 46 VAN HORN,2023,533400.0,535000.0,0.26,1936.0,32.019260690061,-80.847519499319
54.0 VAN HORN TYBEE ISLAND GA 31328.0 54 VAN HORN,2023,697900.0,0.0,0.27,1994.0,32.019260690061,-80.847519499319
26.0 MEDDIN DR TYBEE ISLAND GA 31328.0 26 MEDDIN DR,2023,695000.0,0.0,0.62,1922.0,32.02082381042,-80.845119012841
42.0 VAN HORN TYBEE ISLAND GA 31328.0 42 VAN HORN,2023,774100.0,650000.0,0.23,1915.0,32.019260690061,-80.847519499319
40.0 VAN HORN UNIT 1 TYBEE ISLAND GA 31328.0 40 VAN HORN #1,2023,304100.0,205000.0,0.03,1985.0,32.019260690061,-80.847519499319
40.0 VAN HORN UNIT 2 TYBEE ISLAND GA 31328.0 40 VAN HORN #2,2023,304100.0,250000.0,0.03,1985.0,32.019260690061,-80.847519499319
40.0 VAN HORN UNIT 3 TYBEE ISLAND GA 31328.0 40 VAN HORN #3,2023,304100.0,300000.0,0.03,1985.0,32.019260690061,-80.847519499319
40.0 VAN HORN UNIT 4 TYBEE ISLAND GA 31328.0 40 VAN HORN #4,2023,304100.0,0.0,0.03,1985.0,32.019260690061,-80.847519499319
40.0 VAN HORN UNIT 5 TYBEE ISLAND GA 31328.0 40 VAN HORN #5,2023,318600.0,280000.0,0.03,1990.0,32.019260690061,-80.847519499319
40.0 VAN HORN UNIT 6 TYBEE ISLAND GA 31328.0 40 VAN HORN #6,2023,304100.0,220000.0,0.03,1985.0,32.019260690061,-80.847519499319
1.0 ALGER AVE TYBEE ISLAND GA 31328.0 1 ALGER AVE,2023,950700.0,659000.0,0.16,2006.0,32.021782338554,-80.84901224519
2.0 CARPENTER RD TYBEE ISLAND GA 31328.0 2 CARPENTER RD,2023,220600.0,592500.0,0.09,1986.0,32.019577135363,-80.848928544195
4.0 CARPENTER RD TYBEE ISLAND GA 31328.0 4 CARPENTER RD,2023,477400.0,128000.0,0.2,1986.0,32.019577135363,-80.848928544195
6.0 CARPENTER RD TYBEE ISLAND GA 31328.0 6 CARPENTER RD,2023,511300.0,0.0,0.2,1986.0,32.019577135363,-80.848928544195
8.0 CARPENTER RD TYBEE ISLAND GA 31328.0 8 CARPENTER RD,2023,272000.0,0.0,0.2,1986.0,32.019577135363,-80.848928544195
10.0 CARPENTER RD TYBEE ISLAND GA 31328.0 10 CARPENTER RD,2023,479900.0,390000.0,0.2,1986.0,32.019577135363,-80.848928544195
12.0 CARPENTER RD TYBEE ISLAND GA 31328.0 12 CARPENTER RD,2023,697700.0,450000.0,0.2,1986.0,32.019577135363,-80.848928544195
1.0 MOORE AVE TYBEE ISLAND GA 31328.0 1 MOORE AVE,2023,726300.0,387000.0,0.46,1915.0,32.018990379169,-80.848401561358
13.0 NAYLOR AVE TYBEE ISLAND GA 31328.0 13 NAYLOR AVE,2023,589300.0,395000.0,0.15,2000.0,32.017997502368,-80.848516559854
52.0 SOLOMON AVE TYBEE ISLAND GA 31328.0 52 SOLOMON AVE,2023,499200.0,0.0,0.17,1910.0,32.021525849946,-80.853654091827
4.0 MOORE AVE TYBEE ISLAND GA 31328.0 4 MOORE AVE,2023,569800.0,131900.0,0.15,1987.0,32.018990379169,-80.848401561358
6.0 MOORE AVE TYBEE ISLAND GA 31328.0 6 MOORE AVE,2023,568000.0,300000.0,0.16,1915.0,32.018990379169,-80.848401561358
11.0 NAYLOR AVE TYBEE ISLAND GA 31328.0 11 NAYLOR AVE,2023,385000.0,450000.0,0.05,2014.0,32.017997502368,-80.848516559854
50.0 SOLOMON AVE TYBEE ISLAND GA 31328.0 50 SOLOMON AVE,2023,652300.0,47000.0,0.35,1965.0,32.021525849946,-80.853654091827
9.0 NAYLOR AVE TYBEE ISLAND GA 31328.0 9 NAYLOR AVE,2023,336500.0,80000.0,0.06,2020.0,32.017997502368,-80.848516559854
7.0 NAYLOR AVE TYBEE ISLAND GA 31328.0 7 NAYLOR AVE,2023,959000.0,100000.0,0.29,2014.0,32.017997502368,-80.848516559854
5.0 NAYLOR AVE TYBEE ISLAND GA 31328.0 5 NAYLOR AVE,2023,598770.0,14500.0,0.22,1992.0,32.017997502368,-80.848516559854
7.0 HOSTI AVE TYBEE ISLAND GA 31328.0 7 HOSTI AVE,2023,662800.0,175000.0,0.22,1990.0,32.018010518613,-80.847614996487
15.0 NAYLOR AVE TYBEE ISLAND GA 31328.0 15 NAYLOR AVE,2023,500800.0,0.0,0.15,1950.0,32.017997502368,-80.848516559854
8.0 MOORE AVE TYBEE ISLAND GA 31328.0 8 MOORE AVE,2023,765800.0,80000.0,0.29,1996.0,32.018990379169,-80.848401561358
3.0 HOSTI AVE TYBEE ISLAND GA 31328.0 3 HOSTI AVE,2023,683500.0,0.0,0.22,2002.0,32.018010518613,-80.847614996487
46.0 SOLOMON AVE TYBEE ISLAND GA 31328.0 46 SOLOMON AVE,2023,558200.0,0.0,0.22,1920.0,32.021525849946,-80.853654091827
5.0 WILSON AVE TYBEE ISLAND GA 31328.0 5 WILSON AVE,2023,590000.0,0.0,0.75,1930.0,32.018631496873,-80.848117711159
9.0 VETERANS DR TYBEE ISLAND GA 31328.0 9 VETERANS DR,2023,614900.0,0.0,0.2,1900.0,32.020065377036,-80.846870113473
2.0 MEDDIN DR TYBEE ISLAND GA 31328.0 2 MEDDIN DR,2023,878700.0,155000.0,0.2,1998.0,32.02082381042,-80.845119012841
4.0 MEDDIN DR TYBEE ISLAND GA 31328.0 4 MEDDIN DR,2023,655700.0,202500.0,0.19,1998.0,32.02082381042,-80.845119012841
6.0 MEDDIN DR TYBEE ISLAND GA 31328.0 6 MEDDIN DR,2023,611700.0,0.0,0.19,1998.0,32.02082381042,-80.845119012841
8.0 MEDDIN DR TYBEE ISLAND GA 31328.0 8 MEDDIN DR,2023,613500.0,250000.0,0.19,1998.0,32.02082381042,-80.845119012841
7.0 VETERANS DR TYBEE ISLAND GA 31328.0 7 VETERANS DR,2023,669800.0,0.0,0.27,1998.0,32.020065377036,-80.846870113473
5.0 VETERANS DR TYBEE ISLAND GA 31328.0 5 VETERANS DR,2023,728800.0,165000.0,0.24,1998.0,32.020065377036,-80.846870113473
3.0 VETERANS DR TYBEE ISLAND GA 31328.0 3 VETERANS DR,2023,673500.0,389900.0,0.22,1998.0,32.020065377036,-80.846870113473
45.0 VAN HORN TYBEE ISLAND GA 31328.0 45 VAN HORN,2023,665400.0,166000.0,0.2,1998.0,32.019260690061,-80.847519499319
43.0 VAN HORN TYBEE ISLAND GA 31328.0 43 VAN HORN,2023,669300.0,0.0,0.24,1998.0,32.019260690061,-80.847519499319
41.0 VAN HORN TYBEE ISLAND GA 31328.0 41 VAN HORN,2023,746600.0,0.0,0.27,1998.0,32.019260690061,-80.847519499319
16.0 MEDDIN DR TYBEE ISLAND GA 31328.0 16 MEDDIN DR,2023,999700.0,750000.0,0.21,1910.0,32.02082381042,-80.845119012841
15.0 ROBINSON AVE TYBEE ISLAND GA 31328.0 15 ROBINSON AVE,2023,568000.0,0.0,0.17,1910.0,32.02043700126,-80.84586550521
11.0 ROBINSON AVE TYBEE ISLAND GA 31328.0 11 ROBINSON AVE,2023,615000.0,0.0,0.32,1925.0,32.02043700126,-80.84586550521
3.0 ROBINSON AVE TYBEE ISLAND GA 31328.0 3 ROBINSON AVE,2023,709700.0,399000.0,0.23,1998.0,32.02043700126,-80.84586550521
1.0 ROBINSON AVE TYBEE ISLAND GA 31328.0 1 ROBINSON AVE,2023,2057700.0,0.0,0.22,2006.0,32.02043700126,-80.84586550521
13.0 THRUSHWOOD DR TYBEE ISLAND GA 31328.0 13 THRUSHWOOD DR,2023,1100000.0,1100000.0,0.23,2004.0,32.021095001614,-80.846748329162
26.0 VETERANS DR TYBEE ISLAND GA 31328.0 26 VETERANS DR,2023,905400.0,0.0,0.21,2003.0,32.020065377036,-80.846870113473
24.0 VETERANS DR TYBEE ISLAND GA 31328.0 24 VETERANS DR,2023,545700.0,430000.0,0.21,1999.0,32.020065377036,-80.846870113473
11.0 THRUSHWOOD AVE TYBEE ISLAND GA 31328.0 11 THRUSHWOOD AVE,2023,808400.0,735000.0,0.13,2014.0,32.021095001614,-80.846748329162
7.0 THRUSHWOOD AVE TYBEE ISLAND GA 31328.0 7 THRUSHWOOD AVE,2023,754300.0,0.0,0.51,1929.0,32.021095001614,-80.846748329162
9.0 SPRUCEWOOD ST TYBEE ISLAND GA 31328.0 9 SPRUCEWOOD ST,2023,441700.0,30000.0,0.1,1930.0,31.99241,-80.849252
5.0 SPRUCEWOOD ST TYBEE ISLAND GA 31328.0 5 SPRUCEWOOD ST,2023,660100.0,0.0,0.25,1974.0,31.99241,-80.849252
10.0 ROBINSON AVE TYBEE ISLAND GA 31328.0 10 ROBINSON AVE,2023,446400.0,111000.0,0.08,2021.0,32.02043700126,-80.84586550521
18.0 MEDDIN DR TYBEE ISLAND GA 31328.0 18 MEDDIN DR,2023,509200.0,0.0,0.19,1935.0,32.02082381042,-80.845119012841
20.0 MEDDIN DR TYBEE ISLAND GA 31328.0 20 MEDDIN DR,2023,1375900.0,0.0,0.18,1935.0,32.02082381042,-80.845119012841
22.0 MEDDIN DR TYBEE ISLAND GA 31328.0 22 MEDDIN DR,2023,300000.0,0.0,0.18,1968.0,32.02082381042,-80.845119012841
24.0 MEDDIN DR TYBEE ISLAND GA 31328.0 24 MEDDIN DR,2023,531400.0,0.0,0.16,1970.0,32.02082381042,-80.845119012841
29.0 MEDDIN DR TYBEE ISLAND GA 31328.0 29 MEDDIN DR,2023,509100.0,1000000.0,0.29,1975.0,32.02082381042,-80.845119012841
27.0 MEDDIN DR TYBEE ISLAND GA 31328.0 27 MEDDIN DR,2023,393900.0,136000.0,0.1,1910.0,32.02082381042,-80.845119012841
25.0 MEDDIN DR TYBEE ISLAND GA 31328.0 25 MEDDIN DR,2023,463200.0,325000.0,0.1,1910.0,32.02082381042,-80.845119012841
2.0 CEDARWOOD AVE TYBEE ISLAND GA 31328.0 2 CEDARWOOD AVE,2023,885700.0,1025000.0,0.15,1910.0,32.019821928526,-80.845114686079
4.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 4 CEDARWOOD DR,2023,366300.0,436000.0,0.08,1910.0,32.019821928526,-80.845114686079
6.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 6 CEDARWOOD DR,2023,375000.0,0.0,0.08,1910.0,32.019821928526,-80.845114686079
8.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 8 CEDARWOOD DR,2023,344000.0,410000.0,0.07,1910.0,32.019821928526,-80.845114686079
10.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 10 CEDARWOOD DR,2023,419900.0,227000.0,0.11,1912.0,32.019821928526,-80.845114686079
10.0 MEDDIN LN TYBEE ISLAND GA 31328.0 10 MEDDIN LN,2023,341500.0,353000.0,0.08,1910.0,32.020313533744,-80.844913333031
12.0 MEDDIN LN TYBEE ISLAND GA 31328.0 12 MEDDIN LN,2023,268200.0,200000.0,0.07,1950.0,32.020313533744,-80.844913333031
14.0 MEDDIN LN TYBEE ISLAND GA 31328.0 14 MEDDIN LN,2023,503600.0,517000.0,0.08,1910.0,32.020313533744,-80.844913333031
16.0 MEDDIN LN TYBEE ISLAND GA 31328.0 16 MEDDIN LN,2023,317600.0,77500.0,0.08,1910.0,32.020313533744,-80.844913333031
19.0 MEDDIN DR TYBEE ISLAND GA 31328.0 19 MEDDIN DR,2023,330700.0,22500.0,0.14,1910.0,32.02082381042,-80.845119012841
17.0 MEDDIN DR TYBEE ISLAND GA 31328.0 17 MEDDIN DR,2023,532400.0,0.0,0.17,1940.0,32.02082381042,-80.845119012841
9.0 MEDDIN DR TYBEE ISLAND GA 31328.0 9 MEDDIN DR,2023,794800.0,379190.0,0.15,1994.0,32.02082381042,-80.845119012841
5.0 MEDDIN DR TYBEE ISLAND GA 31328.0 5 MEDDIN DR,2023,416100.0,0.0,0.14,1939.0,32.02082381042,-80.845119012841
5.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 5 CEDARWOOD DR,2023,966000.0,375000.0,0.31,1910.0,32.019821928526,-80.845114686079
3.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 3 CEDARWOOD DR,2023,555000.0,362500.0,0.1,1995.0,32.019821928526,-80.845114686079
1.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 1 CEDARWOOD DR,2023,455200.0,111000.0,0.11,1912.0,32.019821928526,-80.845114686079
17.0 MEDDIN DR TYBEE ISLAND GA 31328.0 17 MEDDIN DR,2023,678400.0,5000.0,0.26,1960.0,32.02082381042,-80.845119012841
81.0 VAN HORN TYBEE ISLAND GA 31328.0 81 VAN HORN,2023,431300.0,34000.0,0.38,1931.0,32.019260690061,-80.847519499319
15.0 MEDDIN DR TYBEE ISLAND GA 31328.0 15 MEDDIN DR,2023,1636400.0,0.0,0.51,1890.0,32.02082381042,-80.845119012841
11.0 MEDDIN DR TYBEE ISLAND GA 31328.0 11 MEDDIN DR,2023,498300.0,0.0,0.16,1890.0,32.02082381042,-80.845119012841
4.0 HOSTI ST TYBEE ISLAND GA 31328.0 4 HOSTI ST,2023,638600.0,95000.0,0.25,1994.0,32.018010518613,-80.847614996487
3.0 NAYLOR AVE TYBEE ISLAND GA 31328.0 3 NAYLOR AVE,2023,580600.0,0.0,0.19,1980.0,32.017997502368,-80.848516559854
6.0 HOSTI ST TYBEE ISLAND GA 31328.0 6 HOSTI ST,2023,663600.0,100000.0,0.2,1995.0,32.018010518613,-80.847614996487
20.0 CAMPBELL AVE TYBEE ISLAND GA 31328.0 20 CAMPBELL AVE,2023,495100.0,0.0,0.15,1985.0,32.016600176476,-80.844942631992
24.0 CAMPBELL AVE TYBEE ISLAND GA 31328.0 24 CAMPBELL AVE,2023,599000.0,34500.0,0.18,1974.0,32.016600176476,-80.844942631992
22.0 N CAMPBELL AVE TYBEE ISLAND GA 31328.0 22 N CAMPBELL AVE,2023,507600.0,335000.0,0.15,1985.0,32.016600176476,-80.844942631992
16.0 CAMPBELL AVE TYBEE ISLAND GA 31328.0 16 CAMPBELL AVE,2023,544300.0,302500.0,0.15,1982.0,32.016600176476,-80.844942631992
18.0 N CAMPBELL AVE TYBEE ISLAND GA 31328.0 18 N CAMPBELL AVE,2023,518000.0,216000.0,0.16,1986.0,32.016600176476,-80.844942631992
2.0 HOSTI AVE TYBEE ISLAND GA 31328.0 2 HOSTI AVE,2023,799600.0,0.0,0.2,1938.0,32.018010518613,-80.847614996487
15.0 N CAMPBELL AVE TYBEE ISLAND GA 31328.0 15 N CAMPBELL AVE,2023,462100.0,0.0,0.12,1936.0,32.016600176476,-80.844942631992
13.0 N CAMPBELL AVE TYBEE ISLAND GA 31328.0 13 N CAMPBELL AVE,2023,338400.0,0.0,0.09,1950.0,32.016600176476,-80.844942631992
11.0 N CAMPBELL AVE TYBEE ISLAND GA 31328.0 11 N CAMPBELL AVE,2023,300400.0,0.0,0.08,1992.0,32.016600176476,-80.844942631992
4.0 LOGAN ST TYBEE ISLAND GA 31328.0 4 LOGAN ST,2023,688400.0,0.0,0.15,1999.0,32.016385727122,-80.847145125123
7.0 N CAMPBELL AVE TYBEE ISLAND GA 31328.0 7 N CAMPBELL AVE,2023,649100.0,90000.0,0.19,1960.0,32.016600176476,-80.844942631992
3.0 BRYAN AVE TYBEE ISLAND GA 31328.0 3 BRYAN AVE,2023,517500.0,447500.0,0.09,1986.0,32.016755501747,-80.847096010506
6.0 LOGAN ST TYBEE ISLAND GA 31328.0 6 LOGAN ST,2023,468600.0,0.0,0.11,1937.0,32.016385727122,-80.847145125123
16.0 LOGAN ST TYBEE ISLAND GA 31328.0 16 LOGAN ST,2023,460900.0,355000.0,0.11,1932.0,32.016385727122,-80.847145125123
18.0 LOGAN ST TYBEE ISLAND GA 31328.0 18 LOGAN ST,2023,707600.0,110000.0,0.11,2019.0,32.016385727122,-80.847145125123
10.0 BRIGHT ST TYBEE ISLAND GA 31328.0 10 BRIGHT ST,2023,680000.0,680000.0,0.17,2000.0,32.016726920976,-80.846593733332
12.0 BRIGHT ST TYBEE ISLAND GA 31328.0 12 BRIGHT ST,2023,487500.0,0.0,0.08,1996.0,32.016726920976,-80.846593733332
14.0 BRIGHT ST TYBEE ISLAND GA 31328.0 14 BRIGHT ST,2023,375200.0,378000.0,0.08,1930.0,32.016726920976,-80.846593733332
16.0 BRIGHT ST TYBEE ISLAND GA 31328.0 16 BRIGHT ST,2023,426000.0,310000.0,0.08,1987.0,32.016726920976,-80.846593733332
24.0 SOLOMON AVE TYBEE ISLAND GA 31328.0 24 SOLOMON AVE,2023,613000.0,0.0,0.22,1900.0,32.021525849946,-80.853654091827
28.0 SOLOMON AVE TYBEE ISLAND GA 31328.0 28 SOLOMON AVE,2023,592700.0,675000.0,0.11,2003.0,32.021525849946,-80.853654091827
30.0 SOLOMON AVE TYBEE ISLAND GA 31328.0 30 SOLOMON AVE,2023,719400.0,715000.0,0.14,1900.0,32.021525849946,-80.853654091827
32.0 SOLOMON AVE TYBEE ISLAND GA 31328.0 32 SOLOMON AVE,2023,528300.0,0.0,0.23,1969.0,32.021525849946,-80.853654091827
32.0 VAN HORN TYBEE ISLAND GA 31328.0 32 VAN HORN,2023,443700.0,639900.0,0.09,2008.0,32.019260690061,-80.847519499319
29.0 VAN HORN TYBEE ISLAND GA 31328.0 29 VAN HORN,2023,594400.0,0.0,0.16,1936.0,32.019260690061,-80.847519499319
11.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 11 CEDARWOOD DR,2023,609300.0,0.0,0.2,1925.0,32.019821928526,-80.845114686079
119.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 119 CEDARWOOD DR,2023,1117900.0,350000.0,0.22,2007.0,32.019821928526,-80.845114686079
117.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 117 CEDARWOOD DR,2023,775400.0,501500.0,0.22,2006.0,32.019821928526,-80.845114686079
115.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 115 CEDARWOOD DR,2023,909800.0,225000.0,0.3,2022.0,32.019821928526,-80.845114686079
13.0 CEDARWOOD DR TYBEE ISLAND GA 31328.0 13 CEDARWOOD DR,2023,725600.0,460000.0,0.28,1925.0,32.019821928526,-80.845114686079
16.0 PALMWOOD ST TYBEE ISLAND GA 31328.0 16 PALMWOOD ST,2023,533200.0,0.0,0.39,1970.0,32.020136007117,-80.844446490912
9.0 GULICK ST TYBEE ISLAND GA 31328.0 9 GULICK ST,2023,326100.0,0.0,0.08,1952.0,32.02085975914,-80.843693454552
7.0 GULICK ST TYBEE ISLAND GA 31328.0 7 GULICK ST,2023,232900.0,35000.0,0.06,1920.0,32.02085975914,-80.843693454552
5.0 PALMWOOD ST TYBEE ISLAND GA 31328.0 5 PALMWOOD ST,2023,263900.0,0.0,20.0,1910.0,32.020136007117,-80.844446490912
3.0 PALMWOOD ST TYBEE ISLAND GA 31328.0 3 PALMWOOD ST,2023,772300.0,395000.0,0.19,1985.0,32.020136007117,-80.844446490912
1.0 PALMWOOD ST TYBEE ISLAND GA 31328.0 1 PALMWOOD ST,2023,726300.0,0.0,0.16,1895.0,32.020136007117,-80.844446490912
33.0 OFFICERS ROW TYBEE ISLAND GA 31328.0 33 OFFICERS ROW,2023,1519100.0,1650000.0,0.36,1914.0,32.018152137076,-80.844322202938
31.0 OFFICERS ROW TYBEE ISLAND GA 31328.0 31 OFFICERS ROW,2023,684500.0,0.0,0.22,1890.0,32.018152137076,-80.844322202938
29.0 OFFICERS ROW TYBEE ISLAND GA 31328.0 29 OFFICERS ROW,2023,641700.0,0.0,0.22,1910.0,32.018152137076,-80.844322202938
21.0 OFFICERS ROW TYBEE ISLAND GA 31328.0 21 OFFICERS ROW,2023,862300.0,1150000.0,0.49,1910.0,32.018152137076,-80.844322202938
19.0 OFFICERS ROW TYBEE ISLAND GA 31328.0 19 OFFICERS ROW,2023,942700.0,225000.0,0.54,1890.0,32.018152137076,-80.844322202938
15.0 OFFICERS ROW TYBEE ISLAND GA 31328.0 15 OFFICERS ROW,2023,1197900.0,0.0,0.58,1900.0,32.018152137076,-80.844322202938
